review,sentiment,sentiment_score,bert_sentiment,bert_score,rating,bank,themes
. Reviewing content on Play is a great way to share helpful feedback and assist other Play users in finding great content and services,Positive,0.4916666666666667,POSITIVE,0.9995966553688049,5,Commercial Bank of Ethiopia,['Other']
So bad now and hard to use,Negative,-0.49583333333333324,NEGATIVE,0.999805748462677,5,Commercial Bank of Ethiopia,['Other']
"it is so amazing app. but, it is better to update it to access without any internet fees. just make it to open by free internet service when we open data connection.",Positive,0.3,POSITIVE,0.9496427178382874,5,Commercial Bank of Ethiopia,['Other']
v.good app,Positive,0.0,POSITIVE,0.9952701926231384,4,Commercial Bank of Ethiopia,['Other']
very good app,Positive,0.9099999999999999,POSITIVE,0.9998675584793091,1,Commercial Bank of Ethiopia,['Other']
Very amazing app indeed. I'm enjoying it,Positive,0.6400000000000001,POSITIVE,0.9998819828033447,5,Commercial Bank of Ethiopia,['Other']
Best,Positive,1.0,POSITIVE,0.9997941851615906,5,Commercial Bank of Ethiopia,['Other']
20 years,Positive,0.0,POSITIVE,0.991589367389679,5,Commercial Bank of Ethiopia,['Other']
A great app. It's like carrying a bank in your pocket.,Positive,0.8,POSITIVE,0.9992928504943848,4,Commercial Bank of Ethiopia,['Other']
More than garrantty bank EBC.,Positive,0.5,POSITIVE,0.9971959590911865,4,Commercial Bank of Ethiopia,['Other']
really am happy to this app it is Siple to use everything,Positive,0.8,POSITIVE,0.9988697171211243,5,Commercial Bank of Ethiopia,['Other']
I liked this app. But the User interface is very basic and not attractive at all.,Negative,0.06666666666666665,NEGATIVE,0.9996840953826904,2,Commercial Bank of Ethiopia,['UI/UX']
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",Positive,-0.125,NEGATIVE,0.9964652061462402,4,Commercial Bank of Ethiopia,"['Transaction Issues', 'Feature Requests']"
what is this app problem???,Negative,0.0,NEGATIVE,0.9996225833892822,1,Commercial Bank of Ethiopia,['Other']
the app is proactive and a good connections.,Positive,0.7,POSITIVE,0.9998679161071777,5,Commercial Bank of Ethiopia,['Other']
I cannot send to cbebirr app. through this app.,Neutral,0.0,NEGATIVE,0.9953354001045227,3,Commercial Bank of Ethiopia,['Other']
good,Positive,0.7,POSITIVE,0.9998161196708679,4,Commercial Bank of Ethiopia,['Other']
not functional,Negative,0.0,NEGATIVE,0.999778687953949,1,Commercial Bank of Ethiopia,['Other']
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",Negative,0.23416666666666666,NEGATIVE,0.9905162453651428,1,Commercial Bank of Ethiopia,['Other']
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,Neutral,,NEGATIVE,0.9616847634315491,4,Commercial Bank of Ethiopia,['Other']
best,Positive,1.0,POSITIVE,0.9997941851615906,5,Commercial Bank of Ethiopia,['Other']
bezabih,Positive,0.0,POSITIVE,0.9654072523117065,5,Commercial Bank of Ethiopia,['Other']
Best Mobile Banking app ever,Positive,1.0,POSITIVE,0.9997294545173645,5,Commercial Bank of Ethiopia,['Other']
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,Positive,0.4928571428571428,NEGATIVE,0.9981192946434021,2,Commercial Bank of Ethiopia,['Transaction Issues']
Good,Positive,0.7,POSITIVE,0.9998161196708679,5,Commercial Bank of Ethiopia,['Other']
👌👍,Positive,0.0,NEGATIVE,0.6970565915107727,5,Commercial Bank of Ethiopia,['Other']
very niec,Positive,0.2,POSITIVE,0.5192620754241943,5,Commercial Bank of Ethiopia,['Other']
best app of finance,Positive,1.0,POSITIVE,0.9996503591537476,5,Commercial Bank of Ethiopia,['Other']
yetemeta,Negative,0.0,POSITIVE,0.6553664803504944,1,Commercial Bank of Ethiopia,['Other']
Engida Kebede Fetera,Positive,0.0,NEGATIVE,0.8396738767623901,5,Commercial Bank of Ethiopia,['Other']
it is not safety,Negative,0.0,NEGATIVE,0.9997867941856384,1,Commercial Bank of Ethiopia,['Other']
NICE bank,Positive,0.6,POSITIVE,0.9998055100440979,5,Commercial Bank of Ethiopia,['Other']
it is like a childish app make it better the worst I have ever seen,Negative,-0.2333333333333333,NEGATIVE,0.9997958540916443,1,Commercial Bank of Ethiopia,['Other']
"It's a problem solver application, go ahead CBE, I love so much.",Positive,0.35,POSITIVE,0.9997678399085999,5,Commercial Bank of Ethiopia,['Other']
It's good but try to make it facilitate for your client,Positive,0.7,POSITIVE,0.9491767883300781,4,Commercial Bank of Ethiopia,['Other']
best app,Positive,1.0,POSITIVE,0.999686598777771,5,Commercial Bank of Ethiopia,['Other']
Awesome bank,Positive,1.0,POSITIVE,0.9998461008071899,5,Commercial Bank of Ethiopia,['Other']
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,Positive,0.2214814814814815,NEGATIVE,0.9983141422271729,5,Commercial Bank of Ethiopia,"['Transaction Issues', 'Feature Requests']"
Masha alla,Positive,0.0,NEGATIVE,0.9514626860618591,5,Commercial Bank of Ethiopia,['Other']
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",Negative,-0.15333333333333332,NEGATIVE,0.9991102814674377,2,Commercial Bank of Ethiopia,['Transaction Issues']
better service,Positive,0.5,POSITIVE,0.9982219338417053,5,Commercial Bank of Ethiopia,['Other']
"it,s good app and time manager 👍",Positive,0.7,POSITIVE,0.9998370409011841,5,Commercial Bank of Ethiopia,['Other']
malkaamuu Jiidhaa Namoo,Positive,0.0,NEGATIVE,0.9887813329696655,5,Commercial Bank of Ethiopia,['Other']
lower system everything,Neutral,0.0,NEGATIVE,0.9993475079536438,3,Commercial Bank of Ethiopia,['Other']
Nice!,Positive,0.75,POSITIVE,0.999863862991333,5,Commercial Bank of Ethiopia,['Other']
Keep it up My CBE,Positive,0.0,POSITIVE,0.9996104836463928,5,Commercial Bank of Ethiopia,['Other']
yes good,Positive,0.7,POSITIVE,0.9998410940170288,5,Commercial Bank of Ethiopia,['Other']
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",Positive,0.0,NEGATIVE,0.9996353387832642,4,Commercial Bank of Ethiopia,['Transaction Issues']
i like everything of this app,Positive,0.0,POSITIVE,0.9996908903121948,5,Commercial Bank of Ethiopia,['Other']
🤬🤬🤬🤬 network 🛜,Negative,0.0,NEGATIVE,0.685613214969635,1,Commercial Bank of Ethiopia,['Other']
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,Positive,0.31999999999999995,POSITIVE,0.9982792139053345,5,Commercial Bank of Ethiopia,['Other']
nice,Positive,0.6,POSITIVE,0.9998552799224854,5,Commercial Bank of Ethiopia,['Other']
good job,Positive,0.7,POSITIVE,0.999835729598999,5,Commercial Bank of Ethiopia,['Other']
it's awesome!!,Positive,1.0,POSITIVE,0.999871015548706,5,Commercial Bank of Ethiopia,['Other']
thankyou every one,Positive,0.0,POSITIVE,0.9998461008071899,5,Commercial Bank of Ethiopia,['Other']
Ronaldo 🇵🇹 🥇,Positive,0.0,POSITIVE,0.9948286414146423,5,Commercial Bank of Ethiopia,['Other']
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",Positive,0.4666666666666666,POSITIVE,0.9998852014541626,5,Commercial Bank of Ethiopia,['Feature Requests']
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",Negative,-0.1405050505050505,NEGATIVE,0.9997394680976868,2,Commercial Bank of Ethiopia,['Feature Requests']
mortuary app,Positive,0.0,NEGATIVE,0.7924914956092834,5,Commercial Bank of Ethiopia,['Other']
it is smart app but it has stoped after some period of time on my device with out any reason .,Positive,0.21428571428571427,NEGATIVE,0.9961044788360596,5,Commercial Bank of Ethiopia,['Other']
amazing app I am used this app for one year,Positive,0.6000000000000001,POSITIVE,0.9991408586502075,4,Commercial Bank of Ethiopia,['Other']
👍,Positive,0.0,NEGATIVE,0.6970565915107727,5,Commercial Bank of Ethiopia,['Other']
good app,Positive,0.7,POSITIVE,0.9998493194580078,5,Commercial Bank of Ethiopia,['Other']
i love it 😍😘,Positive,0.5,POSITIVE,0.9998791217803955,5,Commercial Bank of Ethiopia,['Other']
It makes life easy!👌,Positive,0.0,POSITIVE,0.9993600249290466,5,Commercial Bank of Ethiopia,['Other']
its not fast,Negative,-0.1,NEGATIVE,0.9949808716773987,1,Commercial Bank of Ethiopia,['Other']
wow,Positive,0.1,POSITIVE,0.999592125415802,4,Commercial Bank of Ethiopia,['Other']
it is sooo good,Positive,0.7,POSITIVE,0.9998735189437866,5,Commercial Bank of Ethiopia,['Other']
excellent,Positive,1.0,POSITIVE,0.9998434782028198,5,Commercial Bank of Ethiopia,['Other']
ok,Positive,0.5,POSITIVE,0.9997851252555847,1,Commercial Bank of Ethiopia,['Other']
Fantastic,Positive,0.4,POSITIVE,0.9998743534088135,5,Commercial Bank of Ethiopia,['Other']
accessible to using,Positive,0.375,POSITIVE,0.999116837978363,5,Commercial Bank of Ethiopia,['Other']
I like it,Positive,0.0,POSITIVE,0.9998593330383301,4,Commercial Bank of Ethiopia,['Other']
why you change default network?,Positive,0.0,NEGATIVE,0.9962357878684998,5,Commercial Bank of Ethiopia,['Other']
very nice 👍,Positive,0.78,POSITIVE,0.9998577833175659,5,Commercial Bank of Ethiopia,['Other']
nice fast app,Positive,0.4,POSITIVE,0.999833345413208,5,Commercial Bank of Ethiopia,['Other']
how to I get my money,Positive,0.0,NEGATIVE,0.9934091567993164,5,Commercial Bank of Ethiopia,['Transaction Issues']
"Very bad, can't even load they need to improve their services.",Negative,-0.9099999999999998,NEGATIVE,0.9998165965080261,1,Commercial Bank of Ethiopia,['Other']
"Very good app, but please make it reliable . it crashes sometimes .",Positive,0.9099999999999999,POSITIVE,0.9649853706359863,4,Commercial Bank of Ethiopia,['Performance']
very busy I don't know why... I prefer 889,Neutral,0.13,NEGATIVE,0.9991938471794128,3,Commercial Bank of Ethiopia,['Other']
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",Negative,-0.5,NEGATIVE,0.9966771602630615,4,Commercial Bank of Ethiopia,['Performance']
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,Negative,-0.16666666666666666,NEGATIVE,0.9986202716827393,1,Commercial Bank of Ethiopia,['Other']
hojii bonsaadha,Positive,0.0,POSITIVE,0.9568661451339722,5,Commercial Bank of Ethiopia,['Other']
user-friendly apps.because this app is easy.,Positive,0.43333333333333335,POSITIVE,0.955450713634491,5,Commercial Bank of Ethiopia,['Other']
Awosome!!!,Positive,0.0,POSITIVE,0.6944916844367981,5,Commercial Bank of Ethiopia,['Other']
"Very good app,",Positive,0.9099999999999999,POSITIVE,0.9998691082000732,5,Commercial Bank of Ethiopia,['Other']
sync problem may 22 2025 but the date stack on may 8 2025 help pls,Positive,0.0,NEGATIVE,0.992516815662384,5,Commercial Bank of Ethiopia,['Other']
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,Positive,,POSITIVE,0.9997020363807678,5,Commercial Bank of Ethiopia,['Other']
I hate this app 😒,Negative,-0.8,NEGATIVE,0.9996378421783447,1,Commercial Bank of Ethiopia,['Other']
trustful,Positive,0.0,POSITIVE,0.9998213648796082,5,Commercial Bank of Ethiopia,['Other']
I like,Positive,0.0,POSITIVE,0.9998149275779724,5,Commercial Bank of Ethiopia,['Other']
update issue,Positive,0.0,POSITIVE,0.5473260283470154,4,Commercial Bank of Ethiopia,['Other']
its not working over safari network,Negative,0.0,NEGATIVE,0.9991377592086792,1,Commercial Bank of Ethiopia,['Other']
oldie,Negative,0.0,NEGATIVE,0.6663177013397217,1,Commercial Bank of Ethiopia,['Other']
it doesn't work,Negative,0.0,NEGATIVE,0.9997813105583191,1,Commercial Bank of Ethiopia,['Other']
"This app is good, and we are using it well",Positive,0.7,POSITIVE,0.999855637550354,1,Commercial Bank of Ethiopia,['Other']
very nice 👌 app for android phone,Positive,0.78,POSITIVE,0.9994401335716248,5,Commercial Bank of Ethiopia,['Other']
Yes Yes,Positive,0.0,POSITIVE,0.9997482895851135,5,Commercial Bank of Ethiopia,['Other']
በጣም ከርፋፋ,Neutral,,NEGATIVE,0.7850590348243713,1,Commercial Bank of Ethiopia,['Other']
easy to use helpful in my life,Positive,0.43333333333333335,POSITIVE,0.9981144666671753,5,Commercial Bank of Ethiopia,['Other']
good 👍,Positive,0.7,POSITIVE,0.9998576641082764,4,Commercial Bank of Ethiopia,['Other']
the best mobile banking app,Positive,1.0,POSITIVE,0.9998278617858887,5,Commercial Bank of Ethiopia,['Other']
"this app is very useful app,it saves time,and it is secure",Positive,0.395,POSITIVE,0.9992597699165344,4,Commercial Bank of Ethiopia,['Other']
it's a good application 👍,Positive,0.7,POSITIVE,0.9998123049736023,5,Commercial Bank of Ethiopia,['Other']
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,Negative,-1.0,NEGATIVE,0.9997513890266418,2,Commercial Bank of Ethiopia,"['Transaction Issues', 'Feature Requests']"
poor service,Negative,-0.4,NEGATIVE,0.9996534585952759,1,Commercial Bank of Ethiopia,['Other']
amazing,Positive,0.6000000000000001,POSITIVE,0.999875545501709,5,Commercial Bank of Ethiopia,['Other']
it is reliable and easy to use.,Positive,0.43333333333333335,POSITIVE,0.9998389482498169,5,Commercial Bank of Ethiopia,['Other']
the most annoying mobile banking app I've ever seen,Negative,-0.15000000000000002,NEGATIVE,0.9994208812713623,1,Commercial Bank of Ethiopia,['Other']
Cbe mobile banking,Positive,0.0,POSITIVE,0.8304281234741211,5,Commercial Bank of Ethiopia,['Other']
"i can't make Screenshout in this app, please made modification",Positive,0.0,NEGATIVE,0.9966920614242554,5,Commercial Bank of Ethiopia,['Other']
Best app I loved it,Positive,0.85,POSITIVE,0.999849796295166,5,Commercial Bank of Ethiopia,['Other']
nice app,Positive,0.6,POSITIVE,0.9998061060905457,5,Commercial Bank of Ethiopia,['Other']
Amazing applicatiom sometimes doesnt work!,Positive,0.7500000000000001,NEGATIVE,0.6448812484741211,5,Commercial Bank of Ethiopia,['Other']
well satisfied with this beautiful app,Positive,0.675,POSITIVE,0.9998588562011719,5,Commercial Bank of Ethiopia,['Other']
very good,Positive,0.9099999999999999,POSITIVE,0.9998520612716675,4,Commercial Bank of Ethiopia,['Other']
best app.,Positive,1.0,POSITIVE,0.999774158000946,5,Commercial Bank of Ethiopia,['Other']
"not working,why???",Positive,0.0,NEGATIVE,0.9995881915092468,5,Commercial Bank of Ethiopia,['Other']
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,Positive,0.8,NEGATIVE,0.9841780066490173,5,Commercial Bank of Ethiopia,['Feature Requests']
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,Negative,-0.08333333333333333,NEGATIVE,0.9996201992034912,1,Commercial Bank of Ethiopia,['Other']
woxe harimo ribiso,Positive,0.0,NEGATIVE,0.9374371767044067,5,Commercial Bank of Ethiopia,['Other']
"Good ,easy to use",Positive,0.5666666666666667,POSITIVE,0.9998592138290405,5,Commercial Bank of Ethiopia,['Other']
Good app,Positive,0.7,POSITIVE,0.9998493194580078,5,Commercial Bank of Ethiopia,['Other']
Good job👍,Positive,0.7,POSITIVE,0.9998576641082764,5,Commercial Bank of Ethiopia,['Other']
